Fault_ID,ColorCode,Start_Lon,Start_Lat
1,r,72.00,33.77
2,r,72.64,33.65
3,r,73.23,34.18
4,r,72.50,33.89
5,r,72.91,34.02
6,r,73.32,34.68
7,r,74.34,33.64
8,r,73.63,33.00
9,r,73.78,33.80
10,r,73.86,34.81
11,r,73.32,34.62
12,r,75.33,33.00
13,r,75.46,33.00
14,r,76.14,33.24
15,r,75.77,34.07
16,r,75.52,34.46
17,r,75.00,34.62
18,r,75.00,34.82
19,r,76.40,34.41
20,r,76.13,34.31
21,r,75.00,34.70
22,r,76.78,34.00
23,r,78.00,33.57
24,r,78.00,33.43
25,r,78.00,34.33
26,r,72.00,32.37
27,r,74.85,33.00
28,r,75.39,33.00
29,r,75.45,33.00
30,r,76.43,32.19
31,r,76.75,31.80
32,r,76.60,31.05
33,r,77.20,30.63
34,r,76.77,32.01
35,r,76.31,31.77
36,r,75.69,32.21
37,r,76.56,32.16
38,r,77.03,30.99
39,r,77.61,30.35
40,r,76.53,33.00
41,r,77.12,32.37
42,r,77.27,32.06
43,r,77.27,31.68
44,r,76.87,31.53
45,r,77.05,31.05
46,r,78.00,30.92
47,r,78.00,31.16
48,r,77.44,31.22
49,r,78.00,31.34
50,r,78.00,31.24
51,r,78.73,32.90
52,r,78.00,31.59
53,r,78.00,31.62
54,r,78.00,31.18
55,r,78.00,31.15
56,r,78.12,30.84
57,r,78.00,30.95
58,r,79.79,30.90
59,r,78.11,30.47
60,r,78.00,30.42
61,r,78.34,29.96
62,r,78.31,29.90
63,r,78.35,29.92
64,r,78.34,29.96
65,r,78.35,29.97
67,r,79.50,29.59
68,r,79.22,29.84
69,r,79.57,29.89
70,r,80.08,29.80
71,r,80.30,29.89
72,r,82.82,29.00
75,r,83.86,27.50
76,r,84.00,27.44
77,r,84.00,27.76
78,r,84.00,28.38
79,r,84.82,28.19
80,r,84.94,28.26
81,r,85.80,27.48
82,r,87.17,27.05
83,r,89.15,27.07
84,r,89.70,27.65
85,r,90.00,26.95
86,r,90.00,26.88
87,r,91.20,26.91
88,r,91.42,26.85
89,r,92.11,26.88
90,r,92.06,27.05
91,r,92.26,27.06
92,r,92.12,27.00
93,r,92.51,27.05
94,r,94.46,28.00
95,r,94.25,28.00
97,r,95.57,28.23
98,r,93.00,29.07
99,r,93.00,27.26
100,r,93.67,27.16
102,r,93.74,27.75
103,r,93.04,27.72
104,r,93.00,25.11
105,r,93.22,25.26
106,r,93.58,25.55
107,r,93.85,25.74
108,r,94.02,26.04
109,r,94.00,26.10
110,r,93.99,26.20
111,r,94.10,26.34
112,r,94.25,26.45
113,r,95.22,27.01
114,r,95.41,26.45
115,r,95.28,27.10
116,r,95.79,26.08
117,r,95.85,26.48
118,r,96.00,26.95
119,r,96.20,27.01
120,r,96.00,27.45
121,r,92.80,9.13
122,r,93.17,8.22
1,g,82.49466667,22.30616667
2,g,82.75,22.68
3,g,83.2,22.67
4,g,83.44,23.85
5,g,84.09,24.32
6,g,84.71,23.72
7,g,84.84,23.68
8,g,84.80,23.79
9,g,84.95,23.63
10,g,85.25,23.68
11,g,85.16,23.81
12,g,85.17,23.88
13,g,85.22,23.86
14,g,85.43,23.85
15,g,86.07,23.73
16,g,86.12,23.69
17,g,86.27,23.70
18,g,86.27,23.69
19,g,86.37,23.84
20,g,86.62,22.24
21,g,84.33,22.32
22,g,84.55,22.23
23,g,84.38,21.34
24,g,84.00,21.64
25,g,88.41,24.00
26,g,87.61,24.00
27,g,87.44,23.13
28,g,87.97,23.59
29,g,88.51,23.44
30,g,88.21,23.21
31,g,88.37,23.05
32,g,88.03,23.94
33,g,87.69,22.05
34,g,87.85,23.02
35,g,87.80,21.81
36,g,89.07,23.96
37,g,87.00,23.62
38,g,87.00,23.77
39,g,87.92,21.00
40,g,88.04,21.00
41,g,73.01,19.70
43,g,73.31,17.95
44,g,75.67,20.90
45,g,75.73,20.90
46,g,75.99,20.92
47,g,76.00,20.95
48,g,77.68,20.04
49,g,77.49,20.30
50,g,77.50,20.40
51,g,77.76,20.91
52,g,77.89,20.89
53,g,77.78,20.94
54,g,77.91,20.94
55,g,79.67,20.68
56,g,79.42,20.20
57,m,81.02,17.81
58,g,82.12,17.00
59,m,82.21,18.69
60,g,81.65,17.00
61,g,86.70,20.25
62,g,84.65,20.96
